City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,75,97,18.48,overcast clouds
201,Nome,US,64.5011,-165.4064,14.16,57,18,0.34,few clouds
202,Cienfuegos,CU,22.1461,-80.4356,81.48,58,50,12.53,scattered clouds
203,Port Hardy,CA,50.6996,-127.4199,44.62,94,100,21.27,moderate rain
204,Effium,NG,6.6292,8.0593,85.35,62,100,11.74,overcast clouds
205,Joshimath,IN,30.5667,79.5667,50.27,30,0,9.35,clear sky
206,Gandajika,CD,-6.75,23.95,64.36,96,100,3.4,overcast clouds
207,Vrangel,RU,42.7297,133.0839,32.11,59,55,8.7,broken clouds
208,Tiarei,PF,-17.5333,-149.3333,82.42,77,24,13.18,light rain
209,Te Anau,NZ,-45.4167,167.7167,66.0,56,83,0.18,broken clouds
210,Kavaratti,IN,10.5669,72.642,81.43,68,5,10.45,clear sky
211,Lumberton,US,34.6182,-79.0086,68.31,43,3,3.42,clear sky
212,Kamuli,UG,0.9472,33.1197,68.43,77,52,1.25,light rain
213,Lorengau,PG,-2.0226,147.2712,83.48,72,69,3.62,broken clouds
214,Rheinfelden,DE,47.5667,7.8,48.49,63,1,3.94,clear sky
215,Pyu,MM,18.4833,96.4333,75.45,81,85,2.35,overcast clouds
216,Kodiak,US,57.79,-152.4072,37.69,67,2,17.36,clear sky
217,Wuan,CN,31.6836,112.0044,42.37,93,100,10.78,overcast clouds
218,Cap Malheureux,MU,-19.9842,57.6142,79.47,89,49,11.99,scattered clouds
219,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.09,83,100,8.63,overcast clouds
220,Lavrentiya,RU,65.5833,-171.0,7.81,84,75,3.18,broken clouds
221,Zonguldak,TR,41.25,31.8333,23.38,95,71,3.11,broken clouds
222,Nueva Concepcion,GT,14.2,-91.3,88.18,47,44,9.8,scattered clouds
223,Tura,IN,25.5198,90.2201,69.91,56,45,3.71,scattered clouds
224,Atuona,PF,-9.8,-139.0333,79.25,77,87,14.61,light rain
225,Slave Lake,CA,55.2834,-114.769,41.09,71,72,9.75,broken clouds
226,Port-Cartier,CA,50.0334,-66.8654,35.82,74,65,14.92,broken clouds
227,Batagay-Alyta,RU,67.8006,130.4114,-18.45,82,3,5.53,clear sky
228,Sobolevo,RU,54.4299,31.8996,26.85,96,26,4.45,scattered clouds
229,Azul,AR,-36.777,-59.8585,60.35,62,100,14.29,light rain
230,Sur,OM,22.5667,59.5289,73.47,46,0,11.5,clear sky
231,Merauke,ID,-8.4667,140.3333,78.71,87,99,9.46,moderate rain
232,Taldan,RU,53.6667,124.8,9.86,86,71,3.38,broken clouds
233,Pampa,US,35.5362,-100.9599,46.44,100,100,25.32,thunderstorm with rain
234,Grindavik,IS,63.8424,-22.4338,41.47,100,100,14.97,light intensity drizzle
235,Axim,GH,4.8699,-2.2405,80.2,87,47,5.41,scattered clouds
236,Beyneu,KZ,45.3167,55.2,31.93,69,13,16.46,few clouds
237,Itarema,BR,-2.9248,-39.9167,78.22,87,94,10.07,light rain
238,Sioux Lookout,CA,50.1001,-91.917,34.57,72,87,11.99,overcast clouds
239,Iquique,CL,-20.2208,-70.1431,68.59,81,90,7.96,overcast clouds
240,Brive-La-Gaillarde,FR,45.25,1.5,47.84,20,72,7.36,broken clouds
241,Hukuntsi,BW,-24.0,21.75,68.56,50,0,10.2,clear sky
242,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.79,97,99,0.29,overcast clouds
243,Paso De Carrasco,UY,-34.8603,-56.0522,69.26,51,67,15.5,broken clouds
244,Aklavik,CA,68.2191,-135.0107,-0.22,77,100,2.3,overcast clouds
245,Thompson,CA,55.7435,-97.8558,30.85,88,100,11.5,overcast clouds
246,Tiksi,RU,71.6872,128.8694,-17.03,98,54,1.77,broken clouds
247,Kendal,GB,54.3268,-2.7476,46.11,72,100,3.2,overcast clouds
248,Korla,CN,41.7597,86.1469,38.5,88,32,5.39,scattered clouds
249,General Artigas,PY,-26.9333,-56.2167,76.91,54,12,5.73,few clouds
250,Barahona,DO,18.2085,-71.1008,77.49,72,9,9.26,clear sky
251,Oriximina,BR,-1.7656,-55.8661,73.71,97,100,2.42,overcast clouds
252,Bathsheba,BB,13.2167,-59.5167,77.36,75,44,12.44,scattered clouds
253,Ballina,AU,-28.8667,153.5667,73.02,78,15,7.25,few clouds
254,Beloha,MG,-25.1667,45.05,69.37,78,1,10.78,clear sky
255,Sterling,US,39.0062,-77.4286,68.29,33,0,11.5,clear sky
256,Nenjiang,CN,49.1833,125.2167,12.09,88,8,6.2,clear sky
257,East London,ZA,-33.0153,27.9116,70.59,85,6,9.37,clear sky
258,Zacualpan,MX,21.25,-105.1667,96.42,42,71,7.02,broken clouds
259,Kaliua,TZ,-5.0606,31.7936,65.3,95,84,3.47,broken clouds
260,Mizdah,LY,31.4451,12.9801,45.41,72,5,13.56,clear sky
261,Mar Del Plata,AR,-38.0023,-57.5575,64.09,89,100,37.0,light rain
262,Ariquemes,BR,-9.9133,-63.0408,74.82,97,72,1.34,broken clouds
263,Boyolangu,ID,-8.1181,111.8935,74.91,85,100,3.44,overcast clouds
264,Solhan,TR,38.9634,41.0293,19.09,89,97,5.39,overcast clouds
265,Husavik,IS,66.0449,-17.3389,32.05,80,100,1.01,snow
266,Nizhniy Baskunchak,RU,48.2198,46.8311,30.97,84,86,17.2,overcast clouds
267,Tuatapere,NZ,-46.1333,167.6833,67.8,55,47,2.39,scattered clouds
268,Norman Wells,CA,65.282,-126.8329,4.48,83,100,7.96,overcast clouds
269,Piotrkow Trybunalski,PL,51.4055,19.7032,43.11,57,0,5.48,clear sky
270,Aksay,RU,47.26,39.87,39.42,79,91,11.99,overcast clouds
271,Sept-Iles,CA,50.2001,-66.3821,32.05,68,86,8.01,overcast clouds
272,Pitimbu,BR,-7.4706,-34.8086,80.96,79,97,12.24,light rain
273,Tateyama,JP,34.9833,139.8667,45.1,89,100,16.35,moderate rain
274,Mana,GF,5.6592,-53.7767,75.6,89,100,8.77,overcast clouds
275,Nuuk,GL,64.1835,-51.7216,-5.06,89,20,6.31,few clouds
276,Beterou,BJ,9.1992,2.2586,89.31,32,100,1.01,overcast clouds
277,Los Zacatones,MX,22.95,-102.05,75.09,5,100,28.74,overcast clouds
278,Mecca,SA,21.4267,39.8261,74.14,29,0,1.66,clear sky
279,Dauriya,RU,49.9333,116.8667,2.61,96,18,3.44,few clouds
280,Chapais,CA,49.7834,-74.8492,17.38,88,100,14.83,overcast clouds
281,Namibe,AO,-15.1961,12.1522,74.14,80,100,8.43,overcast clouds
282,Orange,US,33.7,-117.7675,85.42,59,100,4.0,overcast clouds
283,Dingle,PH,10.9995,122.6711,78.28,86,76,6.11,broken clouds
284,Boddam,GB,57.4667,-1.7833,37.78,88,3,12.59,clear sky
285,Lompoc,US,34.6391,-120.4579,84.02,48,0,13.8,clear sky
286,Haines Junction,CA,60.7522,-137.5108,29.73,80,100,1.52,overcast clouds
287,Ichtegem,BE,51.115,3.0309,51.35,79,0,8.05,clear sky
288,Digri,PK,25.1558,69.1113,70.72,66,0,10.65,clear sky
289,Kropotkin,RU,45.4375,40.5756,36.91,81,49,5.37,scattered clouds
290,Fitjar,NO,59.9184,5.3192,39.69,94,100,5.19,light rain
291,Vardo,NO,70.3705,31.1107,33.4,73,63,39.48,broken clouds
292,Soanierana Ivongo,MG,-16.9167,49.5833,74.55,87,97,8.68,overcast clouds
293,Ilulissat,GL,69.2167,-51.1,-5.78,54,10,4.61,clear sky
294,Verkhnevilyuysk,RU,63.4453,120.3167,-10.17,100,100,2.64,overcast clouds
295,Sri Aman,MY,1.2376,111.4621,72.41,99,100,0.94,light rain
296,Berlevag,NO,70.8578,29.0864,35.55,69,75,52.93,broken clouds
297,Lebu,CL,-37.6167,-73.65,57.31,87,57,12.64,broken clouds
298,Novaya Bryan,RU,51.7159,108.2691,1.06,97,36,1.86,scattered clouds
299,Okhotsk,RU,59.3833,143.3,17.71,89,100,13.85,overcast clouds
300,Srednekolymsk,RU,67.45,153.6833,21.96,93,100,6.89,light snow
301,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,66.63,61,32,15.17,scattered clouds
302,Clyde River,CA,70.4692,-68.5914,-7.22,99,100,1.7,overcast clouds
303,Zhigansk,RU,66.7697,123.3711,-14.33,97,88,3.94,overcast clouds
304,Airai,TL,-8.9266,125.4092,64.31,78,98,1.3,overcast clouds
305,Victoria,HK,22.2855,114.1577,76.95,94,99,11.01,overcast clouds
306,Santa Cecilia,BR,-26.9608,-50.4269,53.82,98,100,6.08,overcast clouds
307,Baykit,RU,61.67,96.37,12.65,98,100,3.13,overcast clouds
308,Brae,GB,60.3964,-1.353,41.77,86,10,10.18,clear sky
309,Teya,RU,60.3778,92.6267,16.34,94,100,5.53,overcast clouds
310,Toora-Khem,RU,52.4675,96.11,-2.33,100,95,1.32,overcast clouds
311,Nanortalik,GL,60.1432,-45.2371,18.09,88,21,5.93,few clouds
312,Vaitape,PF,-16.5167,-151.75,81.59,73,72,15.05,light rain
313,Yinchuan,CN,38.4681,106.2731,42.33,71,100,5.95,overcast clouds
314,Lewistown,US,40.5992,-77.5714,63.81,25,0,11.5,clear sky
315,Ridge,US,40.894,-72.8959,58.93,34,0,17.27,clear sky
316,Beringovskiy,RU,63.05,179.3167,27.81,91,100,14.7,overcast clouds
317,Vicuna,CL,-30.0319,-70.7081,77.77,44,0,4.85,clear sky
318,Acarau,BR,-2.8856,-40.12,78.15,88,96,10.49,moderate rain
319,Marsh Harbour,BS,26.5412,-77.0636,72.16,61,3,19.17,clear sky
320,Menongue,AO,-14.6585,17.691,64.49,99,100,4.54,moderate rain
321,Zeya,RU,53.75,127.2667,12.34,89,99,2.35,overcast clouds
322,Akyab,MM,20.15,92.9,74.75,83,65,2.66,broken clouds
323,Hami,CN,42.8,93.45,39.04,33,43,4.5,scattered clouds
324,Ozark,US,37.0209,-93.206,56.28,82,100,4.0,moderate rain
325,Bartica,GY,6.4,-58.6167,72.93,95,100,3.56,overcast clouds
326,Chuy,UY,-33.6971,-53.4616,66.18,62,20,14.79,few clouds
327,Tautira,PF,-17.7333,-149.15,80.53,77,21,12.24,light rain
328,Tsiroanomandidy,MG,-18.7667,46.0333,66.83,95,100,1.74,overcast clouds
329,Jining,CN,35.405,116.5814,39.06,74,100,3.69,overcast clouds
330,Awjilah,LY,29.1081,21.2869,51.75,55,13,12.24,few clouds
331,Formosa,AR,-26.1775,-58.1781,83.97,43,17,9.04,few clouds
332,Karratha,AU,-20.7377,116.8463,84.61,69,100,18.54,overcast clouds
333,Filiates,GR,39.6011,20.3119,42.66,55,1,6.11,clear sky
334,Tucumcari,US,35.1717,-103.725,43.95,61,100,27.63,overcast clouds
335,Sabzevar,IR,36.2126,57.6819,51.84,49,100,7.18,overcast clouds
336,Bilma,NE,18.6853,12.9164,77.59,14,3,19.1,clear sky
337,Hakkari,TR,37.5833,44.1667,28.74,97,100,1.59,snow
338,Huarmey,PE,-10.0681,-78.1522,71.91,80,52,9.37,broken clouds
339,Hofn,IS,64.2539,-15.2082,43.63,98,100,2.44,overcast clouds
340,Sinnamary,GF,5.3833,-52.95,76.73,87,86,10.54,overcast clouds
341,Taizhou,CN,32.4933,119.9106,41.16,91,100,8.59,overcast clouds
342,Severo-Kurilsk,RU,50.6789,156.125,28.42,64,100,24.36,light snow
343,Kajaani,FI,64.2273,27.7285,30.25,80,0,3.44,clear sky
344,Yar-Sale,RU,66.8333,70.8333,-13.58,100,82,4.25,broken clouds
345,Portales,US,34.1862,-103.3344,42.33,78,75,10.0,light rain
