City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
400,Vao,NC,77.0,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
401,Hirara,JP,74.12,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
402,Eyl,SO,74.95,clear sky,7.9803,49.8164,Amiin Hotel
410,Hambantota,LK,78.51,scattered clouds,6.1241,81.1185,Bungalow 63
411,Djenne,ML,87.78,clear sky,13.9061,-4.5533,Hôtel Chez Baba
418,Salaga,GH,89.04,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
420,Fare,PF,81.39,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
421,Ngunguru,NZ,72.3,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
422,Fatehabad,IN,70.65,clear sky,29.5167,75.45,Duke Hotel & Restaurant
424,Aojiang,CN,71.96,overcast clouds,22.9421,116.0359,Binjiang Hotel
426,Conceicao Da Barra,BR,73.51,scattered clouds,-18.5933,-39.7322,Cricaré Praia Hotel
427,Xai-Xai,MZ,70.57,clear sky,-25.0519,33.6442,Complexo da Familia
430,Paita,PE,76.14,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
432,Salinopolis,BR,77.36,heavy intensity rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
437,Manggar,ID,80.35,overcast clouds,-2.8833,108.2667,Guest Hotel
438,Wanning,CN,76.28,broken clouds,18.8003,110.3967,Paradise Hotel
441,Diamantino,BR,75.51,broken clouds,-14.4086,-56.4461,Hotel Delta
444,Sulangan,PH,81.43,overcast clouds,11.1373,123.7228,Maia's Beach Resort
445,Martapura,ID,73.51,moderate rain,-3.4167,114.85,Montana Hotel Syariah
447,Namatanai,PG,84.16,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
448,Emerald,AU,77.34,clear sky,-23.5333,148.1667,The Irish Village
452,Inhambane,MZ,71.26,light rain,-23.865,35.3833,Oceano
453,Jonuta,MX,85.08,clear sky,18.0833,-92.1333,Hotel There
455,Tandag,PH,77.59,overcast clouds,9.0783,126.1986,Mercedes Inn and Restaurant
456,Sahuaripa,MX,74.39,scattered clouds,29.05,-109.2333,Estatua de Sahuaripa
461,Pisco,PE,74.01,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
463,George Town,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
464,Tual,ID,80.49,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
467,Ambilobe,MG,73.71,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
470,Muncar,ID,75.78,overcast clouds,-8.4333,114.3333,Zaky Homestay
471,Chicama,PE,72.61,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
473,Ribas Do Rio Pardo,BR,74.64,broken clouds,-20.4431,-53.7592,Pousada Avenida
475,Ahipara,NZ,73.11,clear sky,-35.1667,173.1667,Ahipara Holiday Park
476,Robertsport,LR,75.81,light rain,6.7533,-11.3686,Kwepunha Retreat
477,Olinda,BR,80.33,moderate rain,-8.0089,-34.8553,Flat Quatro Rodas Olinda
478,Kralendijk,BQ,78.53,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
